timestamp,Rain_(mm),Reservoir_(m)
8/5/2020 23:59,0.0,10.35
9/5/2020 23:59,0.0,10.43
10/5/2020 23:59,0.0,10.35
11/5/2020 23:59,0.0,10.35
12/5/2020 23:59,0.0,10.73
13/5/2020 23:59,0.0,10.35
14/5/2020 23:59,0.0,10.73
15/5/2020 23:59,0.0,10.66
16/5/2020 23:59,0.0,10.73
17/5/2020 23:59,0.0,10.35
18/5/2020 23:59,0.0,10.73
19/5/2020 23:59,0.0,10.66
20/5/2020 23:59,54.8,13.32
21/5/2020 23:59,0.2,11.57
22/5/2020 23:59,0.2,11.42
23/5/2020 23:59,0.0,11.19
24/5/2020 23:59,5.4,11.57
25/5/2020 23:59,15.0,11.88
26/5/2020 23:59,4.0,13.10
27/5/2020 23:59,13.2,12.94
28/5/2020 23:59,0.2,11.19
29/5/2020 23:59,4.8,10.35
30/5/2020 23:59,6.2,10.89
31/5/2020 23:59,0.0,10.35
1/6/2020 23:59,0.0,10.28
2/6/2020 23:59,0.0,10.58
3/6/2020 23:59,0.0,10.58
4/6/2020 23:59,0.0,10.35
5/6/2020 23:59,18.2,12.94
6/6/2020 23:59,0.0,10.28
7/6/2020 23:59,0.0,10.12
8/6/2020 23:59,0.0,10.20
9/6/2020 23:59,4.6,11.19
10/6/2020 23:59,0.0,10.73
11/6/2020 23:59,0.6,10.66
12/6/2020 23:59,2.8,10.66
13/6/2020 23:59,5.4,10.35
14/6/2020 23:59,0.0,10.28
15/6/2020 23:59,17.2,10.28
16/6/2020 23:59,0.6,11.11
17/6/2020 23:59,0.0,10.66
18/6/2020 23:59,0.0,10.50
19/6/2020 23:59,12.2,11.95
20/6/2020 23:59,0.2,13.78
21/6/2020 23:59,3.2,11.19
22/6/2020 23:59,0.2,10.35
23/6/2020 23:59,0.0,10.73
24/6/2020 23:59,0.0,10.35
25/6/2020 23:59,0.0,10.28
26/6/2020 23:59,0.0,10.28
27/6/2020 23:59,0.0,10.66
28/6/2020 23:59,0.0,10.35
29/6/2020 23:59,0.0,10.35
30/6/2020 23:59,0.0,10.28
1/7/2020 23:59,18.0,10.35
2/7/2020 23:59,0.0,10.35
3/7/2020 23:59,24.2,10.58
4/7/2020 23:59,0.0,10.35
5/7/2020 23:59,0.0,10.28
6/7/2020 23:59,0.0,10.28
7/7/2020 23:59,0.0,10.66
8/7/2020 23:59,0.0,10.35
9/7/2020 23:59,0.0,10.28
10/7/2020 23:59,0.0,10.35
11/7/2020 23:59,0.0,10.35
12/7/2020 23:59,0.8,10.58
13/7/2020 23:59,0.2,10.35
14/7/2020 23:59,0.0,10.28
15/7/2020 23:59,0.0,10.28
16/7/2020 23:59,0.0,10.66
17/7/2020 23:59,0.0,10.28
18/7/2020 23:59,0.0,10.28
19/7/2020 23:59,0.0,10.28
20/7/2020 23:59,0.0,10.20
21/7/2020 23:59,0.0,10.20
22/7/2020 23:59,0.0,10.35
23/7/2020 23:59,2.2,10.28
24/7/2020 23:59,10.6,10.43
25/7/2020 23:59,0.0,10.28
26/7/2020 23:59,0.0,10.28
27/7/2020 23:59,0.0,10.28
28/7/2020 23:59,0.0,10.20
29/7/2020 23:59,0.0,10.28
30/7/2020 23:59,0.0,10.28
31/7/2020 23:59,0.0,10.28
1/8/2020 23:59,0.0,10.58
2/8/2020 23:59,0.0,10.73
3/8/2020 23:59,0.0,10.35
4/8/2020 23:59,0.0,10.35
5/8/2020 23:59,0.0,10.28
6/8/2020 23:59,27.8,11.04
7/8/2020 23:59,1.6,10.35
8/8/2020 23:59,0.0,10.28
9/8/2020 23:59,0.0,10.28
10/8/2020 23:59,9.0,10.50
11/8/2020 23:59,0.2,10.20
12/8/2020 23:59,0.2,10.20
13/8/2020 23:59,0.0,10.28
14/8/2020 23:59,4.8,10.35
15/8/2020 23:59,0.4,10.28
16/8/2020 23:59,0.0,10.35
17/8/2020 23:59,0.0,10.28
18/8/2020 23:59,1.4,10.28
19/8/2020 23:59,0.0,10.28
20/8/2020 23:59,0.0,10.20
21/8/2020 23:59,16.6,10.66
22/8/2020 23:59,0.4,10.12
23/8/2020 23:59,0.0,10.20
24/8/2020 23:59,0.0,10.12
25/8/2020 23:59,0.0,10.20
26/8/2020 23:59,0.0,10.20
27/8/2020 23:59,0.0,10.20
28/8/2020 23:59,0.0,10.20
29/8/2020 23:59,0.0,10.12
30/8/2020 23:59,0.0,10.12
31/8/2020 23:59,0.0,10.12
1/9/2020 23:59,0.0,10.12
2/9/2020 23:59,0.0,10.12
3/9/2020 23:59,0.0,10.05
4/9/2020 23:59,0.0,10.05
5/9/2020 23:59,0.0,9.90
6/9/2020 23:59,0.0,9.90
7/9/2020 23:59,0.0,9.90
8/9/2020 23:59,0.0,10.12
9/9/2020 23:59,0.0,9.90
10/9/2020 23:59,0.0,9.90
11/9/2020 23:59,0.0,9.90
12/9/2020 23:59,0.0,9.90
13/9/2020 23:59,0.0,10.05
14/9/2020 23:59,0.0,10.05
15/9/2020 23:59,0.0,10.05
16/9/2020 23:59,0.0,9.82
17/9/2020 23:59,0.0,10.12
18/9/2020 23:59,0.0,10.12
19/9/2020 23:59,0.0,10.28
20/9/2020 23:59,0.0,10.20
21/9/2020 23:59,0.0,10.12
22/9/2020 23:59,0.0,10.12
23/9/2020 23:59,0.0,10.20
24/9/2020 23:59,17.0,10.43
25/9/2020 23:59,0.0,10.20
26/9/2020 23:59,0.0,10.28
27/9/2020 23:59,0.0,10.28
28/9/2020 23:59,0.0,10.28
29/9/2020 23:59,0.0,10.12
30/9/2020 23:59,0.0,10.12
1/10/2020 23:59,0.0,10.35
2/10/2020 23:59,0.0,10.35
3/10/2020 23:59,0.0,10.28
4/10/2020 23:59,0.0,10.28
5/10/2020 23:59,0.0,10.43
6/10/2020 23:59,6.8,11.19
7/10/2020 23:59,3.2,10.73
8/10/2020 23:59,0.0,10.35
9/10/2020 23:59,0.0,10.35
10/10/2020 23:59,0.0,10.35
11/10/2020 23:59,45.6,11.50
12/10/2020 23:59,0.0,10.35
13/10/2020 23:59,0.0,10.35
14/10/2020 23:59,0.4,10.28
15/10/2020 23:59,0.0,10.35
16/10/2020 23:59,0.0,10.35
17/10/2020 23:59,0.0,10.35
18/10/2020 23:59,0.0,10.35
19/10/2020 23:59,0.0,10.35
20/10/2020 23:59,0.0,10.28
21/10/2020 23:59,0.0,10.28
22/10/2020 23:59,2.2,10.43
23/10/2020 23:59,0.2,10.28
24/10/2020 23:59,0.4,10.28
25/10/2020 23:59,0.2,10.28
26/10/2020 23:59,0.2,10.28
27/10/2020 23:59,1.0,10.43
28/10/2020 23:59,0.0,10.28
29/10/2020 23:59,0.0,10.35
30/10/2020 23:59,0.0,10.35
31/10/2020 23:59,0.0,10.35
1/11/2020 23:59,1.2,10.50
2/11/2020 23:59,0.0,10.28
3/11/2020 23:59,0.0,10.35
4/11/2020 23:59,0.0,10.35
5/11/2020 23:59,0.0,10.35
6/11/2020 23:59,0.0,10.35
7/11/2020 23:59,0.2,10.35
8/11/2020 23:59,0.0,10.35
9/11/2020 23:59,0.0,10.43
10/11/2020 23:59,0.0,10.28
11/11/2020 23:59,0.2,10.28
12/11/2020 23:59,0.0,10.28
13/11/2020 23:59,0.0,10.35
14/11/2020 23:59,0.2,10.43
15/11/2020 23:59,0.2,10.43
16/11/2020 23:59,0.4,10.35
17/11/2020 23:59,0.0,10.35
18/11/2020 23:59,0.0,10.28
19/11/2020 23:59,0.0,10.28
20/11/2020 23:59,0.0,10.35
21/11/2020 23:59,0.0,10.35
22/11/2020 23:59,0.0,10.35
23/11/2020 23:59,0.0,10.28
24/11/2020 23:59,0.0,10.35
25/11/2020 23:59,0.0,10.43
26/11/2020 23:59,0.0,10.35
27/11/2020 23:59,0.0,10.43
28/11/2020 23:59,15.8,10.89
29/11/2020 23:59,1.0,10.43
30/11/2020 23:59,0.2,10.35
1/12/2020 23:59,0.0,10.35
2/12/2020 23:59,5.6,10.73
3/12/2020 23:59,27.6,13.78
4/12/2020 23:59,0.0,10.66
5/12/2020 23:59,30.2,14.09
6/12/2020 23:59,0.2,10.35
7/12/2020 23:59,7.8,11.34
8/12/2020 23:59,36.4,14.39
9/12/2020 23:59,0.4,10.43
10/12/2020 23:59,23.6,13.32
11/12/2020 23:59,0.0,10.43
12/12/2020 23:59,11.0,14.54
13/12/2020 23:59,0.2,10.35
14/12/2020 23:59,0.0,10.43
15/12/2020 23:59,0.0,10.28
16/12/2020 23:59,0.0,10.28
17/12/2020 23:59,0.0,10.28
18/12/2020 23:59,0.0,10.35
19/12/2020 23:59,0.0,10.35
20/12/2020 23:59,0.0,10.43
21/12/2020 23:59,0.0,10.43
22/12/2020 23:59,0.4,10.50
23/12/2020 23:59,0.2,10.50
24/12/2020 23:59,0.2,10.50
25/12/2020 23:59,36.0,14.70
26/12/2020 23:59,0.2,10.35
27/12/2020 23:59,0.2,10.35
28/12/2020 23:59,0.0,10.43
29/12/2020 23:59,2.2,10.58
