DATE,EUR
10/7/1992,242.9
17/7/1992,243.2
24/7/1992,249.9
31/7/1992,246.8
7/8/1992,238.9
14/8/1992,230.3
21/8/1992,226.8
28/8/1992,224.5
4/9/1992,225.3
11/9/1992,232.0
18/9/1992,252.9
25/9/1992,251.2
2/10/1992,240.8
9/10/1992,254.9
16/10/1992,247.5
23/10/1992,257.1
30/10/1992,255.0
6/11/1992,261.8
13/11/1992,255.2
20/11/1992,261.7
27/11/1992,261.8
4/12/1992,262.9
11/12/1992,260.1
18/12/1992,260.4
25/12/1992,261.3
1/1/1993,266.7
8/1/1993,267.0
15/1/1993,265.1
22/1/1993,259.0
29/1/1993,264.3
5/2/1993,269.2
12/2/1993,272.3
19/2/1993,271.5
26/2/1993,270.5
5/3/1993,274.8
12/3/1993,273.6
19/3/1993,272.6
26/3/1993,273.3
2/4/1993,275.9
9/4/1993,273.1
16/4/1993,273.1
23/4/1993,273.4
30/4/1993,281.1
7/5/1993,281.4
14/5/1993,294.7
21/5/1993,302.3
28/5/1993,300.7
4/6/1993,306.4
11/6/1993,299.5
18/6/1993,310.1
25/6/1993,318.8
2/7/1993,328.3
9/7/1993,338.6
16/7/1993,340.2
23/7/1993,339.8
30/7/1993,354.8
6/8/1993,329.3
13/8/1993,323.4
20/8/1993,319.7
27/8/1993,315.4
3/9/1993,304.3
10/9/1993,288.6
17/9/1993,290.5
24/9/1993,302.0
1/10/1993,297.0
8/10/1993,297.5
15/10/1993,304.5
22/10/1993,315.7
29/10/1993,318.9
5/11/1993,327.4
12/11/1993,327.5
19/11/1993,332.1
26/11/1993,331.8
3/12/1993,333.6
10/12/1993,332.9
17/12/1993,338.1
24/12/1993,334.0
31/12/1993,348.2
7/1/1994,346.3
14/1/1994,348.5
21/1/1994,343.8
28/1/1994,333.1
4/2/1994,342.8
11/2/1994,340.2
18/2/1994,332.6
25/2/1994,330.3
4/3/1994,330.2
11/3/1994,332.3
18/3/1994,335.8
25/3/1994,335.0
1/4/1994,335.5
8/4/1994,335.3
15/4/1994,328.2
22/4/1994,318.7
29/4/1994,317.5
6/5/1994,317.3
13/5/1994,324.3
20/5/1994,321.5
27/5/1994,323.5
3/6/1994,325.8
10/6/1994,325.3
17/6/1994,323.9
24/6/1994,319.5
1/7/1994,315.1
8/7/1994,310.0
15/7/1994,307.8
22/7/1994,314.5
29/7/1994,313.4
5/8/1994,307.4
12/8/1994,304.7
19/8/1994,304.1
26/8/1994,308.9
2/9/1994,311.0
9/9/1994,311.2
16/9/1994,308.9
23/9/1994,314.6
30/9/1994,314.8
7/10/1994,311.1
14/10/1994,303.8
21/10/1994,301.8
28/10/1994,301.8
4/11/1994,302.1
11/11/1994,304.1
18/11/1994,308.2
25/11/1994,310.8
2/12/1994,309.0
9/12/1994,307.4
16/12/1994,310.2
23/12/1994,312.5
30/12/1994,308.8
6/1/1995,304.2
13/1/1995,303.4
20/1/1995,304.3
27/1/1995,299.5
3/2/1995,299.9
10/2/1995,299.8
